subscriber_id;period_id;msisdn;recharge_amount;number_of_recharges;number_of_sms_onnet;number_of_sms_offnet;number_of_sms_international;mou_onnet;mou_offnet_mobile;mou_offnet_fix;mou_international;bonus_on_consumption_revenue;bonus_on_refill_revenue;bonus_on_refill_flash_revenue;number_of_reactivations;consumption_revenue;arpu_out_without_bonus;incoming_revenue;data_trafic_volume;total_voice_revenu_amount;total_data_revenu_amount;device_type;flag_smartphone
22205189;202206;d2b9649cf4d4f59e73d0315ccd502861;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;;
2144405964;202206;50242abd0f7f58ff2dfe9b7e633c3241;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;1;0.000;0.000;0.000;;;;;
2140690751;202206;a18618ba8247ae4db31674006559a35e;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;Router;N
2155151366;202206;1a708eb95d6eb2be4a62f8461686df45;43860.000;1;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;Smartphone;Y
2149307810;202206;876fb9b1362077c9054921d98621c1b9;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;Phablet;Y
2146631923;202206;d4dbcfb3da1f917bd030f218cfb75d9f;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;Router;N
1320079698;202206;fdeb49e1a164f20317b17b62209f4a45;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;1;0.000;0.000;0.000;;;;;
2166666661;202206;21174a30161fd2073e8cd8e7a83ae2a8;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;;
2139267756;202206;ddde87f2cb4d84f43da3b636ec5ddebb;0.000;0;2;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;950.000;950.000;0.000;;;;Phablet;Y
2142449177;202206;90092fa9d165af777a88566713407b91;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;Phablet;Y
2147793375;202206;53871c1565e797c781881baa436a7451;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;Basic Phone;N
2166195784;202206;e33b7162fbf262c42aa338c45ad10df8;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;;
2145885949;202206;77b04ba64a384996da70d0b1e2aa4432;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;Phablet;Y
2145539485;202206;6847a9f7e6ac334a3f3fc79e27a3fcee;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;Phablet;Y
2142866680;202206;2512378009f1303dcbae0070a2b18be7;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;1;0.000;0.000;0.000;;;;USB Modem;N
14569237;202206;b3d0333a7da7df32db3da8750298dab1;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;Basic Phone;N
2143912859;202206;44ec5dd484e4d2f58b1c05486e4497c6;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;Phablet;Y
23538794;202206;d4dd394df962211b562c8d41e0db8357;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;1;0.000;0.000;0.000;;;;;
2165840967;202206;79134e241f798789f30abfa01dc55349;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;;
2145613924;202206;876f9efaa6b620ccf02521a79a44e2e7;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;Router;N
2140570111;202206;4acc01ac62223dfd900aa754461ff241;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;Router;N
6210556;202206;a68584b5ce61f18baa2b77974ae07d8c;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;55.755;;;;Basic Phone;N
11357068;202206;4112049bf03e331bee29c77dfefbd7de;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;1;0.000;0.000;0.000;;;;Mobile broadband PCI card;N
2158436433;202206;2f9459c3bb616831cdf0b2bf515362ef;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;;
2163499003;202206;96e6d199a1947c19f8d386b99fc73515;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;Phablet;Y
21940672;202206;e21575e6ca927d5689fd2260da16cb97;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;Mobile broadband PCI card;N
2166727777;202206;c915feabbfa91743c7fb1e74e9026021;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;;
2163151915;202206;2dfefcd2bf25281801f777fa4930f160;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;Router;N
2139780103;202206;7a36085fbc519dfa7ed1a8e4d31828eb;5000.000;1;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;Phablet;Y
2140624098;202206;4c2136431befa181a112748628cb2d18;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;Mobile broadband PCI card;N
2160810853;202206;9de407e8e3c7a227905ddd6e2c96d359;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;Phablet;Y
2145790534;202206;bba4778d055eec2f8375674457a2b82f;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;1;0.000;0.000;0.000;;;;Smartphone;Y
2138382942;202206;c20379fad62e92de62ac402a2331ebb3;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;;
2153860294;202206;ae3639dcbc43814a6838d99d695e428f;43860.000;1;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;Basic Phone;N
2159114448;202206;71e89d4c7ea8a0f0e8dbfc6100254b5f;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;Phablet;Y
2166722847;202206;def50a938f9222321e4b77c58b5cbfee;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;;
2140100880;202206;52c4e636c8964a633fa35084e2ed48fb;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;Tablet;Y
18683406;202206;72d91eb3b7f4d649e09eff5c3ebaeb6e;1000.000;1;2;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;1000.000;1000.000;0.000;;;;Feature Phone;N
2144652628;202206;f98b9b5f8cf73dcc3f5a801a0ab8239a;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;Phablet;Y
17491038;202206;21095ad318e3d78247eccee8a4ed093e;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;;
2146332347;202206;1cba8a521b0065131f782a3ff0e90c99;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;Phablet;Y
2166745680;202206;e0746758a58718b44485d6d534455d25;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;;
2137020969;202206;63548fe5e693fb916527c4c8660202b3;0.000;0;0;0;0;0.00;0.00;0.00;0.00;0.000;0.000;0.000;0;0.000;0.000;0.000;;;;Phablet;Y
