churn;subscriber_id;msisdn;sales_channel_description;date_activation;churn_date;first_call_date;last_call_date;first_recharge_date;first_recharge_amount;last_international_call_date;original_operator;dat_attrib_kridi;dat_remb_kridi_net;ported_in_request_date;SelectionProb;SamplingWeight
No;2140570111;4acc01ac62223dfd900aa754461ff241;;30SEP2016:13:40:41.000000;;30SEP2016:13:14:54.000000;22SEP2017:03:49:28.000000;;;22SEP2017:03:49:28.000000;Ooredoo;;;;0.0001224126;8169.093
No;2137020969;63548fe5e693fb916527c4c8660202b3;;09SEP2015:22:43:07.000000;15FEB2016:23:59:59.000000;03JAN2016:14:15:20.000000;05OCT2016:16:00:35.000000;22JUL2016:22:05:24.000000;10454.000;05OCT2016:16:00:35.000000;Ooredoo;;;;0.0001224126;8169.093
No;2169033017;b2f945b2f43f600d2dc01341e583e8c4;;18NOV2022:00:00:00.000000;;18NOV2022:13:57:05.000000;22NOV2022:18:09:33.000000;19NOV2022:14:56:15.000000;1000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2144405964;50242abd0f7f58ff2dfe9b7e633c3241;;13OCT2017:00:00:00.000000;;14OCT2017:01:16:40.000000;14OCT2017:01:16:40.000000;;;14OCT2017:01:16:40.000000;Ooredoo;;;;0.0001224126;8169.093
No;2169873736;9aed26cdec305f116c745d50e5088d92;;31DEC2022:00:00:00.000000;;31DEC2022:08:56:06.000000;31DEC2022:08:56:06.000000;;;;Ooredoo;;;;0.0001224126;8169.093
No;2140690751;a18618ba8247ae4db31674006559a35e;;13OCT2016:19:05:46.000000;;13OCT2016:18:47:01.000000;21OCT2020:11:36:05.000000;02MAR2020:18:38:33.000000;5000.000;;Ooredoo;;;;0.0001224126;8169.093
No;11357068;4112049bf03e331bee29c77dfefbd7de;;09MAR2010:00:00:00.000000;;26NOV2015:08:43:44.000000;09JUL2020:12:52:53.000000;;;;Ooredoo;;;;0.0001224126;8169.093
No;2163013226;88d43e33c27e2f4f4cf3fafd3d237f79;;30OCT2021:00:00:00.000000;20FEB2023:23:59:59.000000;30OCT2021:18:42:56.000000;25APR2022:17:32:43.000000;30OCT2021:18:42:21.000000;5000.000;;Ooredoo;;;;0.0001224126;8169.093
No;2167690290;ef0b04532acd270a735d4142650bb968;;23AUG2022:00:00:00.000000;20FEB2023:23:59:59.000000;23AUG2022:18:36:09.000000;25SEP2022:15:00:57.000000;;;;Ooredoo;;;;0.0001224126;8169.093
No;2146631923;d4dbcfb3da1f917bd030f218cfb75d9f;;16MAY2018:00:00:00.000000;22AUG2018:23:59:59.000000;16MAY2018:18:58:21.000000;11OCT2020:23:04:29.000000;27AUG2018:17:55:39.000000;8772.000;;Ooredoo;;;;0.0001224126;8169.093
No;2163085464;dfd0c9277cfa4d97b826cb0051befe47;;05NOV2021:00:00:00.000000;11FEB2022:23:59:59.000000;05NOV2021:20:36:51.000000;06SEP2022:05:40:22.000000;21JUL2022:23:53:14.000000;35088.000;;Ooredoo;;;;0.0001224126;8169.093
No;2169137051;1b8489841b1b8734ce3f972594cba29e;;18NOV2022:00:00:00.000000;;18NOV2022:11:13:37.000000;20NOV2022:19:10:14.000000;18NOV2022:11:13:08.000000;26316.000;;Ooredoo;;;;0.0001224126;8169.093
